Code,Airport Name,City,Country,Altitude,Lat,Long,Traffic Rank,Traffic
MTY,GENERAL MARIANO ESCOBEDO INTERNATIONAL,MONTERREY,MEXICO,388,25.778,-100.107,206,9771630
HFE,LUOGANG,HEFEI,CHINA,29,31.78,117.298,207,9690716
LIN,LINATE,MILAN,ITALY,108,45.445,9.277,208,9548363
NGB,LISHE,NINBO,CHINA,4,29.825,121.465,210,9390527
CMN,MOHAMMED V,CASABLANCA,MOROCCO,200,33.368,-7.588,211,9357427
VCP,VIRACOPOS,CAMPINAS,BRAZIL,662,-23.008,-47.134,212,9332631
TLS,BLAGNAC,TOULOUSE,FRANCE,153,43.629,1.364,214,9264611
SDU,SANTOS DUMONT,RIO DE JANEIRO,BRAZIL,4,-22.91,-43.163,215,9247185
CLE,CLEVELAND HOPKINS INTERNATIONAL,CLEVELAND,USA,242,41.412,-81.85,216,9140445
CTA,CATANIA FONTANAROSSA,CATANIA,ITALY,13,37.467,15.066,217,9120913
SAT,SAN ANTONIO INTERNATIONAL,SAN ANTONIO,USA,247,29.534,-98.47,218,9050000
MRS,PROVENCE,MARSEILLE,FRANCE,23,43.436,5.214,219,9002086
PIT,PITTSBURGH INTERNATIONAL,PITTSBURGH (PENNSYLVA),USA,367,40.491,-80.233,220,8988016
ADD,BOLE INTERNATIONAL,ADDIS ABABA,ETHIOPIA,2323,8.977,38.8,221,8900000
RSW,SOUTHWEST FLORIDA INTERNATIONAL,FORT MYERS,USA,10,26.536,-81.755,223,8842549
IND,INDIANAPOLIS INTERNATIONAL,INDIANAPOLIS,USA,243,39.717,-86.294,224,8770308
FAO,FARO,FARO,ACORES,8,37.014,-7.966,225,8727000
JOG,ADI SUTJIPTO,YOGYAKARTA,INDONESIA,107,-7.788,110.432,226,8634369
KEF,KEFLAVIK NAS,KEFLAVIK,ICELAND,53,63.985,-22.606,228,8260949
BLQ,BOLOGNA,BOLOGNA,ITALY,38,44.534,11.29,229,8198156
NAP,CAPODICHINO,NAPLES,ITALY,91,40.886,14.291,230,8134492
BRS,BRISTOL,BRISTOL,ENGLAND,190,51.383,-2.719,231,8100000
ADL,ADELAIDE INTERNATIONAL,ADELAIDE,AUSTRALIA,7,-34.945,138.531,232,8090000
POA,SALGADO FILHO,PORTO ALEGRE,BRAZIL,4,-29.994,-51.171,233,8012114
BKI,KOTA KINABALU INTERNATIONAL,KOTA KINABALU,MALAYSIA,4,5.937,116.051,234,8006446
HLP,HALIM PERDANAKUSUMA INTERNATIONAL,JAKARTA,INDONESIA,30,-6.266,106.891,235,7934520
IBZ,IBIZA,IBIZA,SPAIN,7,38.873,1.373,236,7903892
KWL,LIANGJIANG,GUILIN,CHINA,174,25.218,110.039,238,7862015
CVG,CINCINNATI NORTHERN KENTUCKY INTERNATIONAL,CINCINNATI,USA,274,39.046,-84.662,239,7842149
PNQ,PUNE,PUNE,INDIA,592,18.582,73.919,240,7837331
YEG,EDMONTON INTERNATIONAL,EDMONTON,CANADA,724,53.31,-113.58,241,7807384
REC,GUARARAPES,RECIFE,BRAZIL,11,-8.126,-34.923,242,7776881
SSA,DEPUTADO LUIS EDUARDO MAGALHAES,SALVADOR,BRAZIL,20,-12.911,-38.331,243,7735685
CRL,BRUSSELS SOUTH,CHARLEROI,BELGIUM,188,50.459,4.454,244,7698767
BPN,SEPINGGAN,BALIKPAPAN,INDONESIA,4,-1.268,116.894,245,7510090
ALG,HOUARI BOUMEDIENE,ALGIER,ALGERIA,25,36.691,3.215,246,7500000
CMH,PORT COLUMBUS INTERNATIONAL,COLUMBUS,USA,249,39.998,-82.892,247,7500000
HER,NIKOS KAZANTZAKIS,HERAKLION,GREECE,36,35.339,25.18,248,7480408
AMD,AHMEDABAD,AHMEDABAD,INDIA,58,23.075,72.632,249,7405282
ACE,LANZAROTE,LANZEROTE,CANARY ISLANDS,15,28.945,-13.605,250,7389025
PEN,PENANG INTERNATIONAL,PENANG,MALAYSIA,4,5.297,100.277,251,7232097
TIJ,GENERAL ABELARDO L RODRIGUEZ INTERNATIONAL,TIJUANA,MEXICO,153,32.541,-116.97,253,7103200
GOI,GOA,GOA,INDIA,57,15.381,73.833,255,6876491
GOT,LANDVETTER,GOTHENBORG,SWEDEN,155,57.663,12.28,256,6758520
VLC,VALENCIA,VALENCIA,SPAIN,69,39.489,-0.481,257,6745394
CWB,AFONSO PENA,CURITIBA,BRAZIL,911,-25.528,-49.176,258,6722058
CHC,CHRISTCHURCH INTERNATIONAL,CHRISTCHURCH,NEW ZEALAND,38,-43.489,172.532,260,6566598
YNT,LAISHAN,YANTAI,CHINA,18,37.402,121.372,261,6503015
SOF,SOFIA,SOFIA,BULGARIA,531,42.695,23.406,262,6206400
KHH,KAOHSIUNG INTERNATIONAL,KAOHSIUNG,TAIWAN,10,22.575,120.351,263,6472085
OOL,GOLD COAST COOLANGATTA,COOLANGATTA,AUSTRALIA,7,-28.164,153.505,264,6457086
BDL,BRADLEY INTERNATIONAL,WINDSOR LOCKS,USA,53,41.939,-72.683,265,6436407
SKG,MAKEDONIA,THESSALONIKI,GREECE,7,40.52,22.971,266,6395523
LOS,LAGOS MURTALA MUHAMMED,LAGOS,NIGERIA,42,6.577,3.321,267,6367478
BTH,HANG NADIM,BATAM,INDONESIA,39,1.121,104.119,268,6355113
PBI,PALM BEACH INTERNATIONAL,WEST PALM BEACH,USA,6,26.683,-80.096,269,6322452
MED,PRINCE MOHAMMAD BIN ABDULAZIZ,MADINAH,SAUDI ARABIA,656,24.553,39.705,270,6300638
BOD,MERIGNAC,BORDEAUX,FRANCE,50,44.828,-0.716,271,6203824
TSA,SUNGSHAN,TAIPEI,TAIWAN,6,25.069,121.552,272,6143445
BGO,BERGEN FLESLAND,BERGEN,NORWAY,51,60.293,5.218,274,6110944
FUE,FUERTEVENTURA,FUERTEVENTURA,CANARY ISLANDS,22,28.453,-13.864,276,6049401
WLG,WELLINGTON INTERNATIONAL,WELLINGTON,NEW ZEALAND,13,-41.327,174.805,277,6049194
MLA,LUQA,MALTA,MALTA,92,35.857,14.478,278,6014548
FOR,PINTO MARTINS INTERNATIONAL,FORTALEZA,BRAZIL,25,-3.776,-38.532,280,5935288
RGN,YANGON INTERNATIONAL,YANGON,MYANMAR,34,16.907,96.133,281,5916597
CIA,CIAMPINO,ROME,ITALY,131,41.799,12.595,282,5885812
HAJ,HANNOVER,HANNOVER,GERMANY,56,52.461,9.685,283,5870104
BFS,ALDERGROVE,BELFAST,NORTH IRELAND,82,54.657,-6.216,284,5844000
KRK,BALICE JP II INTERNATIONAL AIRPORT,KRAKOW,POLAND,242,50.078,19.785,285,5835189
PMO,PALERMO,PALERMO,ITALY,20,38.176,13.091,286,5775274
PMO,BOCCADIFALCO,PALERMO,ITALY,106,38.111,13.313,286,5775274
HAV,JOSE MARTI INTERNATIONAL,HAVANA,CUBA,65,22.989,-82.409,287,5713859
AER,SOCHI,SOCHI,RUSSIA,28,43.446,39.947,288,5691822
TUN,CARTHAGE,TUNIS,TUNISIA,7,36.851,10.227,289,5691037
PLM,SULTAN MAHMUD BADARUDDIN II,PALEMBANG,INDONESIA,12,-2.898,104.701,290,5677234
EIN,EINDHOVEN,EINDHOVEN,NETHERLANDS,23,51.45,5.374,291,5653402
ADA,ADANA,ADANA,TURKEY,20,36.982,35.28,293,5594630
ADA,INCIRLIK AB,ADANA,TURKEY,73,37.002,35.426,293,5594630
JAX,JACKSONVILLE INTERNATIONAL,JACKSONVILLE,USA,10,30.494,-81.688,294,5591886
DUR,DURBAN INTERNATIONAL,DURBAN,SOUTH AFRICA,11,-29.97,30.95,295,5527747
NTE,NANTES ATLANTIQUE,NANTES,FRANCE,28,47.153,-1.611,296,5489899
SVX,KOLTSOVO,SVERDLOVSK,RUSSIA,233,56.741,60.804,297,5404000
NCL,NEWCASTLE,NEWCASTLE,ENGLAND,82,55.038,-1.692,298,5349751
BEG,BEOGRAD,BEOGRAD,YUGOSLAVIA,103,44.818,20.309,299,5343420
RHO,DIAGORAS,RHODOS,GREECE,6,36.405,28.086,300,5301517
PSA,PISA,PISA,ITALY,3,43.684,10.393,301,5233118
KOJ,KAGOSHIMA,KAGOSHIMA,JAPAN,277,31.803,130.719,302,5220710
SIP,SIMFEROPOL,SIMFEROPOL,RUSSIA,195,45.039,33.983,303,5128738
SVQ,SEVILLA,SEVILLA,SPAIN,34,37.418,-5.893,304,5108807
KCH,KUCHING INTERNATIONAL,KUCHING,MALAYSIA,28,1.485,110.346,305,5095193
BIO,BILBAO,BILBAO,SPAIN,43,43.301,-2.911,307,4973712
ANC,TED STEVENS ANCHORAGE INTERNATIONAL,ANCHORAGE,USA,47,61.174,-149.996,308,4966000
ABQ,ALBUQUERQUE INTERNATIONAL SUNPORT,KIRTLAND A.F.B.,USA,1633,35.04,-106.609,309,4958417
LPL,LIVERPOOL,LIVERPOOL,ENGLAND,25,53.334,-2.85,310,4950000
CNS,CAIRNS INTERNATIONAL,CAIRNS,AUSTRALIA,4,-16.886,145.755,311,4898189
EMA,EAST MIDLANDS,EAST MIDLANDS,ENGLAND,94,52.831,-1.328,312,4875791
SWA,WAI SHA AIRPORT,SHANTOU,CHINA,0,23.4,116.683,314,4851015
YOW,OTTAWA MACDONALD CARTIER INTERNATIONAL,OTTAWA,CANADA,114,45.323,-75.669,315,4839677
BUF,BUFFALO NIAGARA INTERNATIONAL,BUFFALO,USA,221,42.94,-78.732,316,4726000
TFN,TENERIFE NORTE,TENERIFE,CANARY ISLANDS,632,28.482,-16.341,317,4704863
BRI,PALESE MACCHIE,BARI,ITALY,54,41.138,16.761,318,4686016
OMA,EPPLEY AFLD,OMAHA,USA,300,41.302,-95.894,319,4611906
GDN,REBIECHOWO,GDANSK,POLAND,149,54.377,18.466,320,4611714
LCY,CITY,LONDON,ENGLAND,6,51.505,0.054,321,4530439
PKU,SULTAN SYARIF KASIM II,PEKANBARU,INDONESIA,32,0.461,101.444,322,4465977
TRD,TRONDHEIM VAERNES,TRONDHEIM,NORWAY,18,63.458,10.94,323,4427733
